age,sex,smoker,smoker_code,age_sq,log_income
1.658125268227234,female,Never,1,2.7493794051336367,1.791759469228055
1.1166552925047113,male,Former,2,1.2469190422787824,1.1939224684724346
1.7664192633717386,male,Former,2,3.1202370140107556,1.2725655957915476
-0.07457865408483895,female,Never,1,0.005561975645106065,1.1786549963416462
1.7664192633717386,female,Never,1,3.1202370140107556,0.9001613499442714
-0.2370196468015958,female,Never,1,0.056178312969953216,0.6678293725756554
-1.211665603102137,female,Former,2,1.4681335337408652,0.7884573603642702
1.0083612973602067,female,Former,2,1.0167925060139593,0.6981347220709844
0.5210383192099362,female,Former,2,0.2714809300851153,1.6351056591826783
1.7664192633717386,male,Never,1,3.1202370140107556,1.791759469228055
0.9000673022157021,male,Former,2,0.810121148517852,0.8285518175661483
-1.5365475885356505,female,Never,1,2.360978491834723,1.1052568313867783
-0.2911666443738481,female,Never,1,0.08477801479592692,1.7715567619105355
0.683479311926693,female,Never,1,0.4671439698317857,1.1052568313867783
-0.2370196468015958,female,Former,2,0.056178312969953216,1.791759469228055
1.6039782706549817,male,Former,2,2.5727462927333455,1.1052568313867783
1.5498312730827295,male,Never,1,2.401976975025234,0.9321640810304452
-0.6160486298073617,female,Never,1,0.37951591428752784,1.000631880307906
-0.7243426249518663,male,Former,2,0.52467223832216,1.791759469228055
-0.9950776128131277,female,Never,1,0.9901794555218728,1.791759469228055
-1.211665603102137,female,Never,1,1.4681335337408652,1.068153081183401
1.7664192633717386,female,Never,1,3.1202370140107556,1.1052568313867783
0.3585973264931793,female,Never,1,0.12859204256805584,0.6043159668533296
0.4668913216376839,female,Former,2,0.2179875062205832,0.5653138090500605
-0.18287264922934351,male,Never,1,0.03344240583615851,1.1817271953786161
-1.5906945861079027,male,Never,1,2.530309266272992,1.791759469228055
-1.5365475885356505,male,Current,3,2.360978491834723,0.9321640810304452
-1.1575186055298845,male,Never,1,1.3398493221478485,1.5040773967762742
-0.39946063951835264,male,Never,1,0.15956880252441127,1.6770965609079151
-0.9950776128131277,female,Never,1,0.9901794555218728,1.4539530095937054
0.5210383192099362,female,Never,1,0.2714809300851153,1.791759469228055
0.3585973264931793,male,Never,1,0.12859204256805584,1.3164082336557241
-1.428253593391146,male,Never,1,2.039908327034721,0.6205764877251099
-0.020431656512586667,male,Current,3,4.1745258784832515e-4,1.3402504226184837
-1.5365475885356505,female,Never,1,2.360978491834723,0.412109650826833
-1.211665603102137,male,Current,3,1.4681335337408652,0.4762341789963716
0.033715341059665616,female,Never,1,0.0011367242227695743,0.9042181506398859
1.1708022900769635,female,Current,3,1.370778002449462,1.068153081183401
0.7917733070711975,female,Never,1,0.6269049697904608,0.7884573603642702
-0.6160486298073617,male,Current,3,0.37951591428752784,0.5709795465857378
-1.1033716079576323,male,Never,1,1.217428905247011,1.2296405510745139
-0.39946063951835264,female,Never,1,0.15956880252441127,1.4539530095937054
0.9000673022157021,male,Former,2,0.810121148517852,0.9202827531436926
0.3585973264931793,male,Current,3,0.12859204256805584,0.5766133643039938
0.4668913216376839,female,Never,1,0.2179875062205832,0.7975071958841881
0.19615633377642244,male,Current,3,0.03847730728060725,1.1052568313867783
0.08786233863191789,female,Never,1,0.007719790549869811,0.9631743177730056
-0.7784896225241186,female,Never,1,0.6060460923777446,0.8197798314933114
-0.2370196468015958,male,Never,1,0.056178312969953216,1.2669476034873244
0.7376263094989453,male,Never,1,0.5440925724650337,1.3029127521808397
-1.5365475885356505,male,Never,1,2.360978491834723,0.5306282510621704
-1.1033716079576323,male,Current,3,1.217428905247011,0.22314355131420976
-1.211665603102137,male,Never,1,1.4681335337408652,1.791759469228055
-0.5619016322351095,female,Never,1,0.3157334443084802,1.6467336971777973
1.1708022900769635,male,Current,3,1.370778002449462,0.8285518175661483
-0.4536076370906049,male,Former,2,0.20575988842692194,0.3852624007906449
-1.5906945861079027,female,Never,1,2.530309266272992,0.9242589015233319
-1.4824005909633982,male,Current,3,2.197511512088632,0.8197798314933114
-0.6160486298073617,female,Never,1,0.37951591428752784,1.1052568313867783
-1.1575186055298845,female,Current,3,1.3398493221478485,0.7561219797213337
1.1708022900769635,female,Former,2,1.370778002449462,0.9969486348916096
0.4668913216376839,male,Former,2,0.2179875062205832,1.791759469228055
-0.9409306152408754,female,Never,1,0.8853504226975722,1.791759469228055
-1.3741065958188936,male,Current,3,1.8881689366729881,1.4883995840570443
1.062508294932459,female,Never,1,1.1289238768002812,0.5306282510621704
1.3873902803659726,female,Never,1,1.924851790053972,0.039220713153281295
0.7376263094989453,female,Former,2,0.5440925724650337,1.791759469228055
